location_id,location_name,location_district,facility_code,facility_name
937,Limbe Diagnostic Centre,Blantyre,BT240677,Limbe Diagnostic Centre
862,Limbe Leaf Tobacco Clinic (Lilongwe),Lilongwe,LL040681,Limbe Leaf Tobacco Clinic (Lilongwe)
942,Limbe Leaf Tobacco Clinic (Limbe),Blantyre,BT240680,Limbe Leaf Tobacco Clinic (Limbe)
854,Lingadzi Private Clinic,Lilongwe,LL040694,Lingadzi Private Clinic
302,Lisungwi Health Centre,Neno,NE290700,Lisungwi Health Centre
815,Livingstonia Mission Hospital (Rumphi),Rumphi,RU140702,Livingstonia Mission Hospital (Rumphi)
306,Lobi Rural Health Centre,Dedza,DE030708,Lobi Rural Health Centre
307,Ludzi St Josephs Health Centre,Mchinji,MC010711,Ludzi St Josephs Health Centre
315,Lunjika Health Centre,Mzimba South,MZ160727,Lunjika Health Centre
1019,Lunzu Banja La Mtsogolo Dispensary,Blantyre,BT240097,Lunzu Banja La Mtsogolo Dispensary
926,Lunzu DAPP Clinic,Blantyre,,Lunzu DAPP Clinic
317,Luvwere Health Centre ,Mzimba North,MZ160736,Luvwere Health Centre 
320,Luwawa Health Centre,Mzimba South,MZ160740,Luwawa Health Centre
321,Luwerezi Health Centre,Mzimba South,MZ160741,Luwerezi Health Centre
323,Luzi Health Centre,Mzimba North,MZ160743,Luzi Health Centre
324,Lwazi Dispensary,Nkhatabay,KB050744,Lwazi Dispensary
704,MACRO Blantyre,Blantyre,BT240756,MACRO Blantyre
717,MACRO Mzuzu,Mzuzu,MZ160760,MACRO Mzuzu
841,MASM Area 43,Lilongwe,LL040850,MASM Area 43
820,MASM Medi Clinic Katoto,Mzimba North,MZ160849,MASM Medi Clinic Katoto
863,MASM Medi Clinic Lilongwe,Lilongwe,LL040850,MASM Medi Clinic Lilongwe
932,MASM Medi Clinic Limbe,Blantyre,BT240848,MASM Medi Clinic Limbe
831,Mabiri Health Centre,Mzimba South,MZ160748,Mabiri Health Centre
327,Machinga District Health Office,Machinga,MC190752,Machinga District Health Office
329,Machinga Health Area,Machinga,,Machinga Health Area
331,Machinga Health District,Machinga,MC190753,Machinga Health District
332,Madede Health Centre,Mzimba South,MZ160765,Madede Health Centre
333,Madisi Hospital,Dowa,DA020769,Madisi Hospital
990,Maera Health Centre (Zomba),Zomba,ZA230771,Maera Health Centre (Zomba)
335,Mafco Health Centre,Salima,SA090773,Mafco Health Centre
1109,Maganga Dispensary,Mangochi,MG200777,Maganga Dispensary
338,Magomero Health Centre,Zomba,ZA230779,Magomero Health Centre
1071,Mahowe Health Centre,Chitipa,CP060781,Mahowe Health Centre
906,Majete (Epicenter) Health Centre,Chikwawa,,Majete (Epicenter) Health Centre
1056,Makadam Pvt Clinic (Blantyre),Blantyre,BT240088,Makadam Pvt Clinic (Blantyre)
341,Makata Dispensary,Blanytyre,BT241554,Makata Dispensary
956,Makata Health Centre (Lunzu),Blantyre,BT240788,Makata Health Centre (Lunzu)
927,Makheta Youth Organization Clinic,Blantyre,BT240790,Makheta Youth Organization Clinic
925,Makungwa Health Centre,Thyolo,TH310794,Makungwa Health Centre
958,Malamulo Day Clinic,Blantyre,BT240802,Malamulo Day Clinic
346,Malamulo Hospital,Thyolo,TH310803,Malamulo Hospital
1012,Malawi Army Marine Camp Hospital,Mangochi,MG200800,Malawi Army Marine Camp Hospital
1014,Maldeco Fisheries Clinic (Mangochi),Mangochi,MG200807,Maldeco Fisheries Clinic (Mangochi)
