OrgUnit ID,OrgUnit Name
q4n2TvCdd9O,Kawale Medical Services 
d1WQftQ87x3,Kawale Urban Health Centre
flfOvLzldtj,Kawamba Health Centre
BRvHol84T4Q,Kaweche Health Centre
ozdBwLyST0J,Kawinga Dispensary
HYqblaD619d,Kayembe Health Centre
q4bVkSStlsm,Kazyozyo Health Centre
tBadX7ZB9Xc,kch Administration Support Department
VcQaxDFCVSX,kch Dental Department
VG3tXaAFnhX,kch ICU Theatre Department
ZsbqAgD0L7d,kch Laboratory Department
g699zwDjYsN,kch Medical Department
mSKoFY7pb5h,kch Mixed Department
fOxzhQuzhf4,kch Obs and Gynae Department
GGibsHr7fMh,kch Oncology Department (Cancer Centre)
z51sML21fcH,kch Ophthalmology Department
bJ0QBPMuwpI,kch Paediatrics Department
GUFsjOInEy9,kch Pharmacy Department
k9fTdEOliSN,kch Physiotherapy Department
Q97kz1e8AAf,kch Radiology Department
vmFAlIXd0j1,kch Surgical Department
x647VZUetKI,Khama Private Clinic
y34yv5aEYeA,Khasu Health Centre
PYQecgNXvAc,Khola Health Centre
XcRAuC6ZPi0,Khombedza Health Centre
OxWyNMOFrbv,Khondowe Health Centre
W8j3MAkrJe4,Khongoni Health Centre
UkXVvwCLQgO,Khonjeni Health Centre
GVweqBeEYdR,Khosolo Health Centre
RgHJHBTtszj,Khuwi Health Centre
q0KYGiBsenN,Khuyukuyu Health Centre
O65d1uI6NGP,Koche Health Centre
sxgy4P0oUli,Kochilira Rural Hospital
QOSmQ9gyzBp,Kukalanga Dispensary
tB6qZOxpIwC,Kunenekude Health Centre
Z8EORvXbL8x,Kwitanda Health Centre
JDVeTXJTAq1,Lafarge Cement Clinic
s0oVNR4X97p,Lakeview Health Centre
fDKWlLdMpdy,Lambulira Health Centre
HRNjqusGvXx,Lemwe Health Centre
bvTUezQA0ui,Lengwe Clinic(Illovo Private)
IxcEPNvhmZx,Lifeline Health Centre
BFn8OYQ5lyA,Lifuwu Health Centre
sWWrrglyJ0M,Lighthouse Foundation
kR3EKghUNys,Lighthouse KCH
gA0WGnhCnYt,Ligowe Dispensary
LBeMMNRQSoU,Likangala Health Centre
JquLSZgkHQ8,Likuni Hospital
cFiiWO0mSVO,Lilongwe Central Hospital
m6bNWBsRDsi,Lilongwe City Assembly Chinsapo 
WgW57Jmd2oN,Lilongwe Health Clinic 
oBjbSOYLYR5,Lilongwe Private Clinic 
VDhjuZZi4GG,Limbe Diagnostic Centre
KVxcc4baK2p,Limbe Health Centre
IEPmsKQJaGW,Limbe Leaf Tobacco Clinic Lilongwe 
inRBKdag7Vs,Limbe Leaf Tobacco ClinicLimbe
oLKSaQ4gqL5,Limbe MASM Clinic
no3kcRH6rEJ,Lingadzi Private Clinic 
z9yDHU0ZYQd,Linyangwa Health Centre
ZUMSlT5ZDCE,Lirangwe Health Centre
jBJ1nrUXKIu,Lisungwi Health Centre
HYxgXNwy8Wn,Liuzi Health Centre
p4eKC1ZsXQ4,Livwezi Health Centre
TwUljmbTv4b,Liwaladzi Health Centre
pri4uEfpoMg,Liwonde Medical Clinic
yZVsJTXGxyZ,Lizulu Health Centre
yEDgnTigUVO,Lobi Health Centre
MrIB1LvLmRs,Lodjwa Health Centre
L42aUTBuigK,Ludzi St Joseph's Mission Hospital
AcMkv28WWEO,Lugola Health Centre
QmGoFNWfUFa,Lujeri Health Centre
iIwqmezZ9rs,Lulanga Health Centre
ftIjkXg1oCr,Lulwe Health Centre
UrNi47KXEKp,Lumbadzi Health Centre
j94m3pNGJLw,Lundu Health Centre
nF4bckRFYqv,Lungu Private Clinic
VdDtiG3fZ9A,Lungwena Health Centre
ssMcu8y2Kf3,Lunjika Health Centre
kcbyRaflph0,Lunzu BLM
haaT3dJc33b,Lupembe Health Centre
E1n8QFnk7M2,Lura Health Centre
npu0OQlvf8P,Lusangazi Dispensary
NIkvOFVUcr0,Lutheran Mobile Clinic
